阳痿,心理性性功能障碍
阳痿,男子性功能障碍
阳痿,雄激素过少
阳痿,精冷不育
阳痿,脉涩或结
乙肝,转氨酶增高
乙肝,肝肿大
乙肝,乙肝表面抗原（HBsAg）阳性
乙肝,乙肝e抗原（HBeAg）阳性
乙肝,肝功能异常
癫痫,四肢抽搐
癫痫,反复高热
癫痫,惊厥
癫痫,昏睡
癫痫,一过性昏厥
月经不调,月经量多
月经不调,月经稀少
月经不调,月经失调
月经不调,子宫出血
月经不调,小腹冷痛
颈椎病,上肢麻痹
颈椎病,肩背痛
颈椎病,颈椎痛
颈椎病,头颈部活动受限
颈椎病,颈部僵硬
腰肌劳损,腰酸
腰肌劳损,弯腰时腰痛
腰肌劳损,劳累时腰部酸痛或胀痛
腰肌劳损,腰酸背痛
腰肌劳损,产育过多后腰痛
尿路感染,复杂性尿路感染
尿路感染,肾脓肿
尿路感染,反复不愈的尿道感染
尿路感染,尿液混浊
尿路感染,真性菌尿
股骨头坏死,髋关节痛
股骨头坏死,间歇性跛行
股骨头坏死,大腿刺痛
股骨头坏死,大腿肌肉萎缩
精神分裂症,幻觉
精神分裂症,思维破裂
精神分裂症,思维紊乱
精神分裂症,精神运动性兴奋
精神分裂症,色情行为
早孕反应,恶心与呕吐
早孕反应,尿频
早孕反应,食欲异常
早孕反应,尿妊娠试验阳性
早孕反应,早孕反应重
食道癌,梗噎
食道癌,进食困难
食道癌,吞咽困难
食道癌,吞咽障碍
食道癌,消瘦
麦粒肿,眼屎多
麦粒肿,眼睑脓肿
麦粒肿,睑结膜充血露出黄色脓块
麦粒肿,眼睛发红
麦粒肿,眼痛
鼻咽癌,耳内闭塞感
鼻咽癌,鼻内似有擤不出的鼻涕
鼻咽癌,张口呼吸
鼻咽癌,咽部异物感
鼻咽癌,鼻咽腔狭窄
急性胰腺炎,胰源性腹痛
急性胰腺炎,突发性右上腹绞痛
急性胰腺炎,恶心与呕吐
急性胰腺炎,急腹症
急性胰腺炎,上腹部压痛
胆囊炎,右上腹压痛
胆囊炎,恶心
胆囊炎,发烧
胆囊炎,腹肌紧张
胆囊炎,右上腹痛
地中海贫血,气血不足
地中海贫血,脾肿大
地中海贫血,头晕
地中海贫血,皮肤呈浅黄或深金黄色
地中海贫血,重度贫血
子宫内膜癌,阴道出血
子宫内膜癌,阴道分泌物增多
子宫内膜癌,下腹疼痛
子宫内膜癌,下腹胀痛
子宫内膜癌,下腹部包块
动脉硬化,头痛
动脉硬化,心音异常
动脉硬化,胸痛
动脉硬化,头晕
动脉硬化,动脉呈多处伸长扭曲状
扁平疣,皮肤瘙痒
扁平疣,丘疹
神经衰弱,易激惹
神经衰弱,易疲乏
神经衰弱,保持睡眠障碍性失眠
神经衰弱,头痛
神经衰弱,神经官能症
尿道炎,尿道烧灼感
尿道炎,尿道痒感
尿道炎,白色黏液状尿
尿道炎,尿道刺痒
尿道炎,尿道口有白膜形成
性欲亢进,迷走神经兴奋
性欲亢进,阴茎异常勃起
性欲亢进,性上瘾
哮喘,鼻煽
哮喘,喉鸣声
哮喘,干咳
哮喘,呼吸困难
哮喘,喘息
尿毒症,少尿
尿毒症,肾衰竭
尿毒症,食欲下降
尿毒症,双肾弥漫性病变
尿毒症,双下肢可凹陷性水肿
流产,先兆流产
流产,妊娠时伴有腹痛的阴道流血
流产,自发性流产
流产,难免流产或不可避免流产
流产,习惯性流产
低血压,头晕
低血压,无力
低血压,疲乏
低血压,心前区隐痛
低血压,蹲下起来后眼前发黑
不孕症,月经失调
不孕症,阴道不规则出血
不孕症,阴道分泌物增多
不孕症,月经量多
不孕症,月经稀少
肾虚,尿频
肾虚,性欲减退
肾虚,腰酸背痛
肾虚,腰酸
肾虚,月经失调
婴幼儿腹泻,粪便量多
婴幼儿腹泻,发烧
婴幼儿腹泻,失水
婴幼儿腹泻,黄绿稀溏
婴幼儿腹泻,电解质紊乱
